time,traffic
2017/8/1 0:00,37205704544
2017/8/1 0:30,34791689160
2017/8/1 1:00,31408277504
2017/8/1 1:30,28628989384
2017/8/1 2:00,24524497624
2017/8/1 2:30,21162990032
2017/8/1 3:00,17611430408
2017/8/1 3:30,15101849712
2017/8/1 4:00,12932504072
2017/8/1 4:30,11490909032
2017/8/1 5:00,10538269712
2017/8/1 5:30,10540179384
2017/8/1 6:00,11373766968
2017/8/1 6:30,11777782040
2017/8/1 7:00,13492852008
2017/8/1 7:30,14141355664
2017/8/1 8:00,14840828928
2017/8/1 8:30,15521034256
2017/8/1 9:00,16529561992
2017/8/1 9:30,17276125768
2017/8/1 10:00,17715353416
2017/8/1 10:30,17908779384
2017/8/1 11:00,18520640960
2017/8/1 11:30,19492995848
2017/8/1 12:00,19402311096
2017/8/1 12:30,19001230536
2017/8/1 13:00,19445605544
2017/8/1 13:30,20126451808
2017/8/1 14:00,20123643784
2017/8/1 14:30,20249988464
2017/8/1 15:00,20581423664
2017/8/1 15:30,21070475456
2017/8/1 16:00,21613681120
2017/8/1 16:30,22070036616
2017/8/1 17:00,22268371312
2017/8/1 17:30,23080393408
2017/8/1 18:00,22640587992
2017/8/1 18:30,24273264280
2017/8/1 19:00,24077057520
2017/8/1 19:30,25011707128
2017/8/1 20:00,26331767296
2017/8/1 20:30,29238414112
2017/8/1 21:00,32994821496
2017/8/1 21:30,33828840552
2017/8/1 22:00,35836690944
2017/8/1 22:30,36348536672
2017/8/1 23:00,38003425488
2017/8/1 23:30,37948856144
2017/8/2 0:00,36701002952
2017/8/2 0:30,35197159024
2017/8/2 1:00,32326921520
2017/8/2 1:30,28463493592
2017/8/2 2:00,24166087264
2017/8/2 2:30,21699275312
2017/8/2 3:00,19326747616
2017/8/2 3:30,16172828704
2017/8/2 4:00,13822541152
2017/8/2 4:30,12021797328
2017/8/2 5:00,10591568008
2017/8/2 5:30,9968841712
2017/8/2 6:00,11250181376
2017/8/2 6:30,12097594664
2017/8/2 7:00,12621301056
2017/8/2 7:30,15468152544
2017/8/2 8:00,16242515408
2017/8/2 8:30,16313321744
2017/8/2 9:00,16883121064
2017/8/2 9:30,17286996216
2017/8/2 10:00,17426644872
2017/8/2 10:30,17870726632
2017/8/2 11:00,17782976856
2017/8/2 11:30,18247751248
2017/8/2 12:00,18171477528
2017/8/2 12:30,17955124664
2017/8/2 13:00,19196436008
2017/8/2 13:30,18976416152
2017/8/2 14:00,19040326976
2017/8/2 14:30,19343397960
2017/8/2 15:00,19882390832
2017/8/2 15:30,19755308184
2017/8/2 16:00,19680421448
2017/8/2 16:30,20358730240
2017/8/2 17:00,19489888792
2017/8/2 17:30,20697474776
2017/8/2 18:00,21269040016
2017/8/2 18:30,22500391880
2017/8/2 19:00,23330917664
2017/8/2 19:30,24064591376
2017/8/2 20:00,26022675264
2017/8/2 20:30,29761866864
2017/8/2 21:00,31443277200
2017/8/2 21:30,33958102080
2017/8/2 22:00,35021296168
2017/8/2 22:30,35716598952
2017/8/2 23:00,36431481584
2017/8/2 23:30,38044941592
2017/8/3 0:00,36331613840
2017/8/3 0:30,34956504848
2017/8/3 1:00,32362310752
2017/8/3 1:30,28837609296
2017/8/3 2:00,25449120336
2017/8/3 2:30,21704435520
2017/8/3 3:00,17990210680
2017/8/3 3:30,15746179968
2017/8/3 4:00,13273800240
2017/8/3 4:30,11798238488
2017/8/3 5:00,10168590936
2017/8/3 5:30,10181668560
2017/8/3 6:00,11394016144
2017/8/3 6:30,11711413152
2017/8/3 7:00,13832799672
2017/8/3 7:30,14890511344
2017/8/3 8:00,15903221416
2017/8/3 8:30,16732231992
2017/8/3 9:00,16777712944
2017/8/3 9:30,16876312712
2017/8/3 10:00,17244811360
2017/8/3 10:30,18459118392
2017/8/3 11:00,17820172896
2017/8/3 11:30,18243440872
2017/8/3 12:00,17881118544
2017/8/3 12:30,17973874520
2017/8/3 13:00,17897594240
2017/8/3 13:30,18556510952
2017/8/3 14:00,18707221368
2017/8/3 14:30,18863039752
2017/8/3 15:00,19485887704
2017/8/3 15:30,18930956952
2017/8/3 16:00,19255534424
2017/8/3 16:30,19386767056
2017/8/3 17:00,19813786456
2017/8/3 17:30,20541755984
2017/8/3 18:00,20797112608
2017/8/3 18:30,21096345072
2017/8/3 19:00,21879326672
2017/8/3 19:30,23525572560
2017/8/3 20:00,26119173120
2017/8/3 20:30,28716870592
2017/8/3 21:00,31321220448
2017/8/3 21:30,32948965656
2017/8/3 22:00,36250205040
2017/8/3 22:30,35981984656
2017/8/3 23:00,37269131424
2017/8/3 23:30,37823899032
2017/8/4 0:00,37134857024
2017/8/4 0:30,35222669896
2017/8/4 1:00,32157076920
2017/8/4 1:30,28644015608
2017/8/4 2:00,25536229352
2017/8/4 2:30,21181328888
2017/8/4 3:00,17763781632
2017/8/4 3:30,14763686024
2017/8/4 4:00,13131497184
2017/8/4 4:30,11787517032
2017/8/4 5:00,10380312232
2017/8/4 5:30,10591911064
2017/8/4 6:00,11080954672
2017/8/4 6:30,11589266104
2017/8/4 7:00,13255503800
2017/8/4 7:30,14344238224
2017/8/4 8:00,15188412904
2017/8/4 8:30,15964067344
2017/8/4 9:00,16249935032
2017/8/4 9:30,16909880632
2017/8/4 10:00,17737157680
2017/8/4 10:30,18848691584
2017/8/4 11:00,18712055912
2017/8/4 11:30,19275821264
2017/8/4 12:00,18801657520
2017/8/4 12:30,18619841184
2017/8/4 13:00,18708541344
2017/8/4 13:30,18526066768
2017/8/4 14:00,19412495120
2017/8/4 14:30,19397328480
2017/8/4 15:00,19353345456
2017/8/4 15:30,19840138520
2017/8/4 16:00,19561575328
2017/8/4 16:30,19642120360
2017/8/4 17:00,19452246528
2017/8/4 17:30,20163121824
